B00, 0
B01, 1
B01, Trade, 200.950, 55, B01, S01, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 602.275, 79, B06, S01, 1
B07, 2
B07, Trade, 110.800, 73, B07, S01, 1
B07, Trade, 778.800, 81, S06, B07, 1
B08, 19
B08, Trade, 54.175, 92, B08, S05, 1
B08, Trade, 98.500, 92, S07, B08, 1
B08, Trade, 110.950, 80, S02, B08, 1
B08, Trade, 160.975, 81, S06, B08, 1
B08, Trade, 200.575, 92, B08, S05, 1
B08, Trade, 224.650, 92, B08, S06, 1
B08, Trade, 249.400, 81, S06, B08, 1
B08, Trade, 301.200, 89, S02, B08, 1
B08, Trade, 314.225, 92, B08, S01, 1
B08, Trade, 430.950, 92, B08, S01, 1
B08, Trade, 468.800, 92, B08, S06, 1
B08, Trade, 602.000, 92, B08, S06, 1
B08, Trade, 730.675, 92, B08, S01, 1
B08, Trade, 760.900, 92, B08, S06, 1
B08, Trade, 774.950, 92, B08, S06, 1
B08, Trade, 777.675, 92, B08, S01, 1
B08, Trade, 809.250, 92, B08, S06, 1
B08, Trade, 846.475, 92, B08, S01, 1
B08, Trade, 848.500, 92, B08, S01, 1
B09, 47
B09, Trade, 5.575, 93, B09, S01, 1
B09, Trade, 12.825, 97, B09, S06, 1
B09, Trade, 22.025, 97, B09, S07, 1
B09, Trade, 58.825, 88, B09, S06, 1
B09, Trade, 97.700, 97, B09, S06, 1
B09, Trade, 123.725, 97, B09, S06, 1
B09, Trade, 131.575, 93, S03, B09, 1
B09, Trade, 182.650, 97, B09, S05, 1
B09, Trade, 200.325, 97, B09, S06, 1
B09, Trade, 206.550, 97, B09, S01, 1
B09, Trade, 214.100, 97, B09, S05, 1
B09, Trade, 223.925, 97, B09, S07, 1
B09, Trade, 235.600, 97, B09, S07, 1
B09, Trade, 252.850, 97, B09, S01, 1
B09, Trade, 279.675, 79, B09, S01, 1
B09, Trade, 304.675, 97, B09, S01, 1
B09, Trade, 312.675, 97, B09, S05, 1
B09, Trade, 331.950, 97, B09, S01, 1
B09, Trade, 344.400, 97, B09, S06, 1
B09, Trade, 359.225, 97, B09, S06, 1
B09, Trade, 391.875, 97, B09, S01, 1
B09, Trade, 407.375, 97, B09, S07, 1
B09, Trade, 415.075, 97, B09, S06, 1
B09, Trade, 434.150, 96, B09, S01, 1
B09, Trade, 441.825, 97, B09, S06, 1
B09, Trade, 467.725, 95, S08, B09, 1
B09, Trade, 473.625, 95, B09, S01, 1
B09, Trade, 481.725, 97, B09, S01, 1
B09, Trade, 498.400, 97, B09, S06, 1
B09, Trade, 557.375, 93, B09, S06, 1
B09, Trade, 569.050, 97, B09, S01, 1
B09, Trade, 574.025, 97, B09, S07, 1
B09, Trade, 576.925, 93, B09, S01, 1
B09, Trade, 587.450, 97, B09, S06, 1
B09, Trade, 601.675, 97, B09, S05, 1
B09, Trade, 636.375, 94, B09, S06, 1
B09, Trade, 678.200, 97, B09, S06, 1
B09, Trade, 706.800, 97, B09, S05, 1
B09, Trade, 729.800, 97, B09, S06, 1
B09, Trade, 742.250, 97, B09, S01, 1
B09, Trade, 776.475, 96, B09, S08, 1
B09, Trade, 806.350, 97, B09, S07, 1
B09, Trade, 808.175, 95, B09, S00, 1
B09, Trade, 826.575, 97, B09, S01, 1
B09, Trade, 840.550, 97, B09, S04, 1
B09, Trade, 848.000, 94, B09, S07, 1
B09, Trade, 860.450, 97, B09, S06, 1
B10, 100
B10, Trade, 233.900, 102, S10, B10, 1
